Date,Open,High,Low,Close,Adj Close,Volume,Day
2022-09-21,179.369995,181.100006,175.330002,175.339996,172.520416,29357100,0
2022-09-22,175,175.580002,170.740005,171.389999,168.633942,33468600,1
2022-09-23,169,169.190002,165,167.309998,164.619553,40336900,2
2022-09-26,165.470001,168.970001,163.580002,164.169998,162.365601,30597800,3
2022-09-27,166.309998,167.630005,163.279999,164.729996,162.919449,42406600,4
2022-09-28,165.759995,170.990005,165.070007,169.940002,168.072189,35186500,5
2022-09-29,167.779999,167.929993,163.800003,166.130005,164.304062,31464000,6
2022-09-30,165.779999,169.520004,164.869995,164.919998,163.107361,40643800,7
2022-10-03,167.339996,170.300003,165.25,169.289993,167.429306,33611600,8
2022-10-04,172.610001,176.080002,172.529999,176,174.065582,37537300,9
2022-10-05,173.410004,175.330002,171.419998,174.699997,172.779877,25281400,10
2022-10-06,173.850006,176.169998,172.910004,173.720001,171.810654,22635900,11
2022-10-07,171.929993,172.470001,167.919998,168.610001,166.756821,26536100,12
2022-10-10,169.289993,169.570007,166.589996,167.669998,165.827148,23386400,13
2022-10-11,166.960007,170.110001,164.800003,167.720001,165.876602,28009100,14
2022-10-12,167.899994,168.460007,165.479996,167.259995,165.421646,26796700,15
2022-10-13,164,172.199997,162.5,171.399994,169.516144,45376500,16
2022-10-14,172.740005,173.919998,166.710007,166.809998,164.976593,29608600,17
2022-10-17,170.220001,172.619995,170.110001,172.130005,170.238113,28199200,18
2022-10-18,175.860001,177.289993,172.690002,174.169998,172.255692,34523100,19
2022-10-19,172.490005,173.399994,169.330002,171.210007,169.328232,27146900,20
2022-10-20,171.419998,173.550003,168.470001,169.029999,167.172195,26710700,21
2022-10-21,169.399994,173.199997,168.190002,172.699997,170.801849,45402700,22
2022-10-24,173.320007,174,171.050003,173.440002,171.533722,27284500,23
2022-10-25,173.570007,178.899994,173.559998,178.169998,176.211731,33105700,24
2022-10-26,179.149994,182.369995,178.330002,179.050003,177.082062,37084700,25
2022-10-27,180.589996,182,178.869995,179.089996,177.121628,28651800,26
